caseKey,caseName,caseDescription,caseWeight,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,fastLaneRate,middleLaneRate,highRiskLaneRate,challengeExhaustionRate,falseNegativePassRate,publicWillReviewRate,publicSignalMovement,districtAlignment,crossBlocAdmissionRate,affectedGroupSponsorshipRate,averageCosponsors,proposalBondForfeiture,strategicDecoyRate,proposerAccessGini,welfarePerSubmittedBill,vetoes,overriddenVetoes
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,current-system,Current U.S.-style system,7200,60.000,1582,13.183,60.000,0.220,1.000,0.709,0.697,0.156,0.342,0.780,0.000,0.000,0.000,0.000,0.520,0.056,0.184,0.157,0.863,0.523,0.268,0.000,0.000,0.000,0.137,0.000,0.000,0.049,0.086,0.000,0.666,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.153,386,4
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,simple-majority,Unicameral simple majority,7200,60.000,3631,30.258,60.000,0.504,1.000,0.643,0.635,0.324,0.255,0.496,0.000,0.000,0.000,0.000,0.169,0.186,0.276,0.178,0.856,0.921,0.311,0.000,0.000,0.000,0.144,0.000,0.000,0.078,0.280,0.000,0.569,0.000,0.000,0.000,0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.320,0,0
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,supermajority-60,Unicameral 60 percent passage,7200,60.000,2109,17.575,60.000,0.293,1.000,0.694,0.686,0.203,0.322,0.707,0.000,0.000,0.000,0.000,0.383,0.081,0.203,0.159,0.867,0.727,0.270,0.000,0.000,0.000,0.133,0.000,0.000,0.055,0.119,0.000,0.646,0.000,0.000,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.201,0,0
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,bicameral-majority,Bicameral simple majority,7200,60.000,2887,24.058,60.000,0.401,1.000,0.664,0.655,0.266,0.283,0.599,0.000,0.000,0.000,0.000,0.270,0.129,0.237,0.171,0.864,0.838,0.294,0.000,0.000,0.000,0.136,0.000,0.000,0.069,0.199,0.000,0.599,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.263,0,0
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,presidential-veto,Bicameral majority + presidential veto,7200,60.000,2048,17.067,60.000,0.284,1.000,0.686,0.680,0.195,0.318,0.716,0.000,0.000,0.000,0.000,0.424,0.080,0.200,0.163,0.864,0.653,0.273,0.000,0.000,0.000,0.136,0.000,0.000,0.059,0.124,0.000,0.633,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.194,826,9
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,default-pass,Default pass unless 2/3 block,7200,60.000,6060,50.500,60.000,0.842,1.000,0.579,0.560,0.487,0.176,0.158,0.000,0.000,0.000,0.327,0.014,0.455,0.404,0.202,0.835,1.000,0.385,0.000,0.000,0.000,0.165,0.000,0.000,0.116,0.668,0.000,0.466,0.000,0.000,0.000,0.455,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.471,0,0
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,default-pass-challenge,Default pass + challenge vouchers,7200,60.000,4166,34.717,60.000,0.579,1.000,0.620,0.609,0.359,0.237,0.421,0.000,0.000,0.657,0.099,0.150,0.228,0.292,0.184,0.853,0.938,0.331,0.000,0.000,0.000,0.147,0.000,0.000,0.089,0.345,0.000,0.533,0.000,0.000,0.000,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.352,0,0
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,7200,60.000,5608,46.733,60.000,0.779,1.000,0.616,0.537,0.480,0.251,0.221,0.000,0.000,0.608,0.079,0.108,0.257,0.274,0.206,0.856,0.935,0.433,0.000,0.000,0.000,0.144,0.579,0.169,0.093,0.759,0.142,0.505,0.000,0.000,0.000,0.257,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.136,0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.418,0,0
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,default-pass-constituent-citizen-panel,Default pass + constituent public will + citizen panel,7200,60.000,4100,34.167,60.000,0.569,1.000,0.608,0.631,0.346,0.236,0.431,0.000,0.000,0.000,0.107,0.011,0.222,0.292,0.180,0.890,0.977,0.300,0.000,0.000,0.000,0.110,0.000,0.000,0.090,0.266,0.000,0.540,0.000,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.402,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.286,0.438,0.000,0.000,0.000,0.000,0.000,0.073,0.359,0,0
era-1-low-contention,Era 1 Low Contention,"Stylized low-contention legislature with several parties, high compromise culture, lower lobbying, and stronger constituency responsiveness.",1.000,default-pass-adaptive-track-strict,Default pass + adaptive tracks strict,7200,60.000,3652,30.433,50.508,0.507,0.842,0.642,0.637,0.326,0.253,0.493,0.153,0.005,0.000,0.012,0.151,0.186,0.270,0.174,0.857,0.931,0.298,0.000,0.000,0.000,0.143,0.000,0.000,0.076,0.273,0.000,0.574,0.000,0.000,0.000,0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.689,0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.323,0,0
