public_law_number,bill_id,final_document_number,history_status,final_publication_date,final_effective_date,final_title,final_citation,agency_names,regulation_id_numbers,docket_ids,cfr_references,candidate_proposed_rule_count,matched_proposed_rule_count,proposed_document_numbers,proposed_publication_dates,proposed_titles,proposed_citations,proposed_comment_close_dates,proposed_comment_urls,proposed_regulations_docket_ids,proposed_regulations_comments_urls,shared_identifiers,days_from_earliest_proposed_to_final,source_urls,api_urls,evidence_layers,missing_links,claim_boundary
117-146,117-s-3580,2024-02926,proposed_rule_history_match,2024-02-26,2024-05-28,Demurrage and Detention Billing Requirements,89 FR 14330,Federal Maritime Commission,3072-AC90,Docket No. FMC-2022-0066,46 CFR 541,5,5,2022-02981; 2022-05572; 2022-22290; 2022-24362; 2022-26025,2022-02-15; 2022-03-17; 2022-10-14; 2022-11-15; 2022-11-29,Demurrage and Detention Billing Requirements,87 FR 15179; 87 FR 62341; 87 FR 68416; 87 FR 73278; 87 FR 8506,2022-02-15; 2022-03-17; 2022-11-25; 2022-12-09; 2022-12-13,,FMC-2022-0013; FMC-2022-0023; FMC-2022-0066,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FMC-2022-0013; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FMC-2022-0023; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FMC-2022-0066,DOCKET:FMC20220066; RIN:3072-AC90,741,https://www.federalregister.gov/documents/2022/02/15/2022-02981/demurrage-and-detention-billing-requirements; https://www.federalregister.gov/documents/2022/03/17/2022-05572/demurrage-and-detention-billing-requirements; https://www.federalregister.gov/documents/2022/10/14/2022-22290/demurrage-and-detention-billing-requirements; https://www.federalregister.gov/documents/2022/11/15/2022-24362/demurrage-and-detention-billing-requirements; https://www.federalregister.gov/documents/2022/11/29/2022-26025/demurrage-and-detention-billing-requirements; https://www.federalregister.gov/documents/2024/02/26/2024-02926/demurrage-and-detention-billing-requirements,https://www.federalregister.gov/api/v1/documents/2022-02981.json; https://www.federalregister.gov/api/v1/documents/2022-05572.json; https://www.federalregister.gov/api/v1/documents/2022-22290.json; https://www.federalregister.gov/api/v1/documents/2022-24362.json; https://www.federalregister.gov/api/v1/documents/2022-26025.json; https://www.federalregister.gov/api/v1/documents/2024-02926.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-146,117-s-3580,2023-05393,no_proposed_rule_history_match,2023-03-20,2023-04-19,Civil Penalty Amendments to Rules of Practice and Procedure,88 FR 16573,Federal Maritime Commission,3072-AC95,Docket No. FMC-2023-0008,46 CFR 502,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2023/03/20/2023-05393/civil-penalty-amendments-to-rules-of-practice-and-procedure,https://www.federalregister.gov/api/v1/documents/2023-05393.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-146,117-s-3580,2024-16148,proposed_rule_history_match,2024-07-23,2024-09-23,Definition of Unreasonable Refusal To Deal or Negotiate With Respect to Vessel Space Accommodations Provided by an Ocean Common Carrier,89 FR 59648,Federal Maritime Commission,3072-AC92,Docket No. FMC-2023-0010,46 CFR 542,2,1,2023-12744,2023-06-14,Definition of Unreasonable Refusal To Deal or Negotiate With Respect to Vessel Space Accommodations Provided by an Ocean Common Carrier,88 FR 38789,2023-07-31,,FMC-2023-0010,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FMC-2023-0010,DOCKET:FMC20230010; RIN:3072-AC92,405,https://www.federalregister.gov/documents/2023/06/14/2023-12744/definition-of-unreasonable-refusal-to-deal-or-negotiate-with-respect-to-vessel-space-accommodations; https://www.federalregister.gov/documents/2024/07/23/2024-16148/definition-of-unreasonable-refusal-to-deal-or-negotiate-with-respect-to-vessel-space-accommodations,https://www.federalregister.gov/api/v1/documents/2023-12744.json; https://www.federalregister.gov/api/v1/documents/2024-16148.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-166,117-hr-7352,2024-18083,no_proposed_rule_history_match,2024-08-23,2024-08-22,Business Loan Program Temporary Changes; Paycheck Protection Program-Extension of Lender Records Retention Requirements,89 FR 68090,Small Business Administration,3245-AI17,Docket Number SBA-2024-0006,13 CFR 120,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2024/08/23/2024-18083/business-loan-program-temporary-changes-paycheck-protection-program-extension-of-lender-records,https://www.federalregister.gov/api/v1/documents/2024-18083.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-167,117-hr-4346,2026-03307,no_proposed_rule_history_match,2026-02-19,2026-02-19,"Eliminating Obsolete Marking Requirements for Toy, Look-Alike, and Imitation Firearms",91 FR 7824,Commerce Department; National Institute of Standards and Technology,0693-AB73,Docket No. 260210-0043,15 CFR 272,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2026/02/19/2026-03307/eliminating-obsolete-marking-requirements-for-toy-look-alike-and-imitation-firearms,https://www.federalregister.gov/api/v1/documents/2026-03307.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-167,117-hr-4346,2024-25810,no_proposed_rule_history_match,2024-11-25,2024-10-16,Final Scientific Integrity Policy,89 FR 92830,Health and Human Services Department,,,42 CFR 93; 45 CFR 46; 45 CFR 73,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2024/11/25/2024-25810/final-scientific-integrity-policy,https://www.federalregister.gov/api/v1/documents/2024-25810.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-167,117-hr-4346,2023-09999,no_proposed_rule_history_match,2023-05-11,2023-06-26,"Marking of Toy, Look-Alike, and Imitation Firearms",88 FR 30226,Consumer Product Safety Commission,,Docket No. CPSC-2023-0021,16 CFR 1272,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2023/05/11/2023-09999/marking-of-toy-look-alike-and-imitation-firearms,https://www.federalregister.gov/api/v1/documents/2023-09999.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-167,117-hr-4346,2024-23857,proposed_rule_history_match,2024-10-23,2024-12-23,Advanced Manufacturing Investment Credit Rules Under Sections 48D and 50,89 FR 84732,Treasury Department; Internal Revenue Service,1545-BQ54,TD 10009,26 CFR 1,6,5,2023-05871; 2023-07987; 2023-13247; 2023-18514; 2023-23616,2023-03-23; 2023-04-17; 2023-06-22; 2023-08-30; 2023-10-27,Advanced Manufacturing Investment Credit; Advanced Manufacturing Investment Credit; Correction; Advanced Manufacturing Investment Credit; Hearing; Increased Credit or Deduction Amounts for Satisfying Certain Prevailing Wage and Registered Apprenticeship Requirements; Increased Credit or Deduction Amounts for Satisfying Certain Prevailing Wage and Registered Apprenticeship Requirements; Correction,88 FR 17451; 88 FR 23369; 88 FR 40725; 88 FR 60018; 88 FR 73807,2023-05-22; 2023-10-30,http://www.regulations.gov/commenton/IRS-2023-0042-0001; https://www.regulations.gov/commenton/IRS-2023-0012-0001,IRS-2023-0012; IRS-2023-0042,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0012; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0042,RIN:1545-BQ54,580,https://www.federalregister.gov/documents/2023/03/23/2023-05871/advanced-manufacturing-investment-credit; https://www.federalregister.gov/documents/2023/04/17/2023-07987/advanced-manufacturing-investment-credit-correction; https://www.federalregister.gov/documents/2023/06/22/2023-13247/advanced-manufacturing-investment-credit-hearing; https://www.federalregister.gov/documents/2023/08/30/2023-18514/increased-credit-or-deduction-amounts-for-satisfying-certain-prevailing-wage-and-registered; https://www.federalregister.gov/documents/2023/10/27/2023-23616/increased-credit-or-deduction-amounts-for-satisfying-certain-prevailing-wage-and-registered; https://www.federalregister.gov/documents/2024/10/23/2024-23857/advanced-manufacturing-investment-credit-rules-under-sections-48d-and-50,https://www.federalregister.gov/api/v1/documents/2023-05871.json; https://www.federalregister.gov/api/v1/documents/2023-07987.json; https://www.federalregister.gov/api/v1/documents/2023-13247.json; https://www.federalregister.gov/api/v1/documents/2023-18514.json; https://www.federalregister.gov/api/v1/documents/2023-23616.json; https://www.federalregister.gov/api/v1/documents/2024-23857.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-167,117-hr-4346,2023-16009,proposed_rule_history_match,2023-08-01,2023-08-31,NSF Federal Cyber Scholarship-for-Service Program (CyberCorps® SFS),88 FR 50044,National Science Foundation,3145-AA64,,45 CFR 620,2,1,2022-14328,2022-07-15,NSF Federal Cyber Scholarship-for-Service Program (CyberCorps® SFS),87 FR 42431,2022-09-13,,NSF_FRDOC_0001,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=NSF_FRDOC_0001,RIN:3145-AA64,382,https://www.federalregister.gov/documents/2022/07/15/2022-14328/nsf-federal-cyber-scholarship-for-service-program-cybercorps-sfs; https://www.federalregister.gov/documents/2023/08/01/2023-16009/nsf-federal-cyber-scholarship-for-service-program-cybercorps-sfs,https://www.federalregister.gov/api/v1/documents/2022-14328.json; https://www.federalregister.gov/api/v1/documents/2023-16009.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-167,117-hr-4346,2024-30030,proposed_rule_history_match,2024-12-19,2025-01-21,Freight Car Safety Standards Implementing the Infrastructure Investment and Jobs Act,89 FR 103677,Transportation Department; Federal Railroad Administration,2130-AC94,"Docket No. FRA-2023-0021, Notice No. 2",49 CFR 215,1,1,2023-26133,2023-12-08,Freight Car Safety Standards Implementing the Infrastructure Investment and Jobs Act,88 FR 85561,2024-02-06,https://www.regulations.gov/commenton/FRA-2023-0021-0001,FRA-2023-0021,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FRA-2023-0021,RIN:2130-AC94,377,https://www.federalregister.gov/documents/2023/12/08/2023-26133/freight-car-safety-standards-implementing-the-infrastructure-investment-and-jobs-act; https://www.federalregister.gov/documents/2024/12/19/2024-30030/freight-car-safety-standards-implementing-the-infrastructure-investment-and-jobs-act,https://www.federalregister.gov/api/v1/documents/2023-26133.json; https://www.federalregister.gov/api/v1/documents/2024-30030.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
