review_rank,packet_rank,bill_id,public_law_number,policy_area,sponsor_districts,display_title,official_title,latest_summary_action_date,latest_summary_update_date,latest_summary_sha256,govinfo_billstatus_url,govinfo_billstatus_sha256,candidate_variable_ids,candidate_variable_count,manual_alignment_status,selected_variable_ids,selected_variable_count,selected_item_labels,selected_item_issue_areas,selected_item_years,selected_item_support_codes,selected_item_oppose_codes,selected_item_nonmissing_responses,bill_policy_direction,survey_item_direction,alignment_direction,alignment_strength,historical_issue_context_status,district_estimation_status,historical_district_estimate_rows,historical_district_estimate_years,historical_district_estimate_artifact,source_review_notes,source_urls,evidence_layers,missing_links,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,NJ-11,"Further Continuing Appropriations and Extensions Act, 2023","To amend the Weather Research and Forecasting Innovation Act of 2017 to direct the National Oceanic and Atmospheric Administration to provide comprehensive and regularly updated Federal precipitation information, and for other purposes.",2022-12-16,2023-01-04T18:44:07Z,ccfd8963330db6d3ae9cdd5e3afe01a9273a10dd3397e069c5b33d78d971b98e,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr1437.xml,4e0635073befb08348cbed281d628d2a158650b00503c85e45328c1bdedcf926,incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_education; spending_healthcare; spending_infrastructure; spending_vs_tax; spending_welfare,8,reviewed_related_construct_no_defensible_bill_alignment,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary describes a multi-agency continuing appropriation and extension package. General tax and spending preference items do not measure support for this package as a whole.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr1437.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
2,2,117-hr-5376,117-169,Economics and Public Finance,KY-03,Inflation Reduction Act of 2022,To provide for reconciliation pursuant to title II of S. Con. Res. 14.,2022-08-16,2023-08-31T14:36:39Z,8898e927b07e476ce2149ac448d18be27e0df0e24b4ceb8c024b0c2092fcbf7d,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr5376.xml,a56958ad83239924537061301ac06c4fd448feb79eaca280a57ad07653eaba30,incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_education; spending_healthcare; spending_infrastructure; spending_vs_tax; spending_welfare,8,reviewed_related_construct_no_defensible_bill_alignment,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,"The latest CRS summary describes a large reconciliation law spanning taxes, health, energy, climate, and deficit policy. No single current CES fiscal item measures support for the enacted package.",https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr5376.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
3,3,117-hr-6833,117-180,Economics and Public Finance,MN-02,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023","To amend title XXVII of the Public Health Service Act, the Internal Revenue Code of 1986, and the Employee Retirement Income Security Act of 1974 to establish requirements with respect to cost-sharing for certain insulin products, and for other purposes.",2022-09-30,2022-10-25T14:28:49Z,410e2f37e6fc69f2f9246d59a7d1ab5715ecd8382270257fc94c7b88ed5856af,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6833.xml,36118261505712a6c459257374436433b6eea2ca9b43278e3696a16d12d65df5,incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_education; spending_healthcare; spending_infrastructure; spending_vs_tax; spending_welfare,8,reviewed_related_construct_no_defensible_bill_alignment,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,"The latest CRS summary describes continuing appropriations, Ukraine assistance, and disaster compensation. General fiscal preference items do not measure support for the combined package.",https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6833.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
4,4,117-hr-7776,117-263,Armed Forces and National Security,OR-04,James M. Inhofe National Defense Authorization Act for Fiscal Year 2023,"To provide for improvements to the rivers and harbors of the United States, to provide for the conservation and development of water and related resources, and for other purposes.",2022-12-23,2023-10-18T19:28:28Z,8caed4e8521425249fedd9c5d4402ab30d2ca037092a3b70b1a02fd4bf9ed552,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7776.xml,df68084741fc842892d3ce76d78335dd8ea9e88dc39f0891bac20a7ed9d6c23b,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; spending_cuts_least; spending_cuts_most,8,reviewed_related_construct_no_defensible_bill_alignment,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary describes a broad defense authorization law. The available military-intervention and generic budget-choice items do not measure support for the authorization package.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7776.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
5,5,117-hr-7925,117-238,Armed Forces and National Security,CA-36,"To designate the Department of Veterans Affairs community-based outpatient clinic located in Palm Desert, California, as the ""Sy Kaplan VA Clinic"".","To designate the outpatient clinic of the Department of Veterans Affairs in Palm Desert, California, as the ""Sy Kaplan Veterans Center"".",2022-12-20,2022-12-23T11:50:04Z,11c69c6df22d0c5fc33e7487a6736e9341c9a5c53c483fc87cd960d86637f70f,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7925.xml,ec164e1d8109ae02736ff74d416162257ca1a8995e1e69db9e6b5cbeadb46d33,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; spending_cuts_least; spending_cuts_most,8,reviewed_candidate_items_not_relevant_to_bill_text,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary describes only the naming of a Veterans Affairs clinic. Military-intervention and generic budget-choice items are not relevant bill-topic measures.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7925.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
6,6,117-hr-6604,117-297,Armed Forces and National Security,FL-16,Veterans Eligible to Transfer School (VETS) Credit Act,"To amend title 38, United States Code, to improve the method by which the Secretary of Veterans Affairs determines the effects of a closure or disapproval of an educational institution on individuals who do not transfer credits from such institution.",2022-12-27,2023-01-05T17:27:25Z,a48dd19d5c2d36f3aab777f111746da374b3eb83da41a01ea2ada048a7f77154,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6604.xml,743d12da7cefeee4da31af7ad1dddde507e9965b07b12dfd2d18cc92be595cb6,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; spending_cuts_least; spending_cuts_most,8,reviewed_candidate_items_not_relevant_to_bill_text,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary concerns transfer of veterans education credits after program closure or disapproval. Military-intervention and generic budget-choice items are not defensible bill-topic measures.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6604.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
7,7,117-hr-7132,117-223,"Science, Technology, Communications",NH-02,Safe Connections Act of 2022,"To preserve safe access to communications services for survivors of domestic violence and other crimes, and for other purposes.",2022-12-07,2022-12-13T14:52:06Z,9715f9af357b247b2e721a7dfe77f1f506dc8f492e2fa728a24aeee3153c6479,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7132.xml,0f32d0307c5b58c9b677d71faf9a4c8dcdc3461608601f7c40d2bb2eca39b538,,0,reviewed_no_candidate_item_in_current_ces_source,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The current CES policy-preference source has no candidate item covering communications-account separation and privacy protections for survivors of domestic violence or trafficking.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7132.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
8,8,117-hr-4346,117-167,"Science, Technology, Communications",OH-13,Chips and Science Act,"Making appropriations for Legislative Branch for the fiscal year ending September 30, 2022, and for other purposes.",2022-08-09,2023-01-27T20:45:21Z,f589290fc0651e33c675fd81d9af0d87ef77f0d918cfc00335bd2cc2f8ac2a2c,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr4346.xml,1b154cff61b0827a29f2a4a18717d16b2c6b40d0900b739d12cb40bf7f366d8d,,0,reviewed_no_candidate_item_in_current_ces_source,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The current CES policy-preference source has no candidate item covering semiconductor manufacturing incentives or the enacted science-agency authorizations.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr4346.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
9,9,117-hr-2472,117-269,Government Operations and Politics,OH-06,"To designate the facility of the United States Postal Service located at 82422 Cadiz Jewett Road in Cadiz, Ohio, as the John Armor Bingham Post Office.","To designate the facility of the United States Postal Service located at 82422 Cadiz Jewett Road in Cadiz, Ohio, as the John Armor Bingham Post Office.",2022-12-27,2023-01-05T17:07:31Z,360871525aec5442d8c8747621bb7e2eb395bc745e7c5f4bb441a085e80c8f19,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr2472.xml,19f3b8560f296f45a4233fe8c310dc78ec66cb7e49cd609459e33e4e50be8fa4,,0,reviewed_no_candidate_item_in_current_ces_source,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The bill only designates a postal facility. The current CES policy-preference source has no relevant candidate item.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr2472.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
10,10,117-hr-7352,117-166,Commerce,NY-07,PPP and Bank Fraud Enforcement Harmonization Act of 2022,"To amend the Small Business Act to extend the statute of limitation for fraud by borrowers under the Paycheck Protection Program, and for other purposes.",2022-08-05,2022-10-21T14:42:31Z,bb3d7914d31da1eb6f28b09f97ff050c4e28b5934dded954359c22eec62b5fe0,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7352.xml,315b2c40934ef9aa8b41532db7deaf4d054612d5546aad1604c02268a08b1936,trade_canmex_except; trade_canmex_include; trade_china,3,reviewed_candidate_items_not_relevant_to_bill_text,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary concerns the limitations period for Paycheck Protection Program fraud. Trade-policy items are not relevant bill-topic measures.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7352.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
