manual_packet_review_rank,packet_rank,packet_fingerprint,bill_id,public_law_number,policy_area,client_name,registrant_name,activity_issue,packet_review_status,direction_signal_summary,rows_represented,source_row_fingerprints,queue_review_ranks,position_or_activity_text_signals,support_text_signals,opposition_text_signals,manual_review_source,manual_activity_disposition_status,manual_activity_disposition,manual_activity_disposition_basis,manual_target_status,manual_target_type,manual_target_text,manual_target_basis,manual_outcome_link_status,manual_reviewer_note,bill_reference_context_samples,evidence_layers,missing_links,source_urls,claim_boundary
1,2,2cf7bd20faf81fe5,117-hr-1437,117-229,Economics and Public Finance,"JACOBS SOLUTIONS, INC.","JACOBS SOLUTIONS, INC.",Clean Air and Water (quality),medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,7,01a3f1d7f5bc67be; 173208da55392675; 49898e796cc21344; 6fc0d7b62d1333b9; 865aa18855e82109; dc5af4f4098fe4a6; fba7a2a0024743db,7; 9; 11; 13; 15; 17; 24,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,...to public-private partnerships and the U.S. Army Corps of Engineers Issues related to the Environmental Protection Agency Superfund Program Issues related to PRECIP Act (H.R. 1437) Issues related to FLOODS Act (H.R. 1438) Issues related to PFAS and water Issues related to low-income water assistance (HR 3293),official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/2018bc02-5d2e-4969-8d83-8fa146ecce2d/; https://lda.gov/api/v1/filings/303d30c6-11b5-4571-be41-d1271b3c06f8/; https://lda.gov/api/v1/filings/5b04d1b9-1efd-4ad0-b656-c44f25da6c68/; https://lda.gov/api/v1/filings/ad6a3565-6a47-4521-b3a6-8af40c780a9b/; https://lda.gov/api/v1/filings/c693cff3-4eeb-4d40-a300-1ff45f7f6b2d/; https://lda.gov/api/v1/filings/d620d380-3727-41b1-ad49-1d185f3856ba/; https://lda.gov/api/v1/filings/e0f7384d-1b04-40d4-a4f5-1c423a73814d/; https://lda.gov/filings/public/filing/2018bc02-5d2e-4969-8d83-8fa146ecce2d/print/; https://lda.gov/filings/public/filing/303d30c6-11b5-4571-be41-d1271b3c06f8/print/; https://lda.gov/filings/public/filing/5b04d1b9-1efd-4ad0-b656-c44f25da6c68/print/; https://lda.gov/filings/public/filing/ad6a3565-6a47-4521-b3a6-8af40c780a9b/print/; https://lda.gov/filings/public/filing/c693cff3-4eeb-4d40-a300-1ff45f7f6b2d/print/; https://lda.gov/filings/public/filing/d620d380-3727-41b1-ad49-1d185f3856ba/print/; https://lda.gov/filings/public/filing/e0f7384d-1b04-40d4-a4f5-1c423a73814d/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
2,3,c83366cb89a48ad2,117-hr-1437,117-229,Economics and Public Finance,ASSURANT INC,"ASSURANT, INC.",Insurance,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,a301fd7d7fea1113,19,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,Issues related to the reauthorization of the National Flood Insurance Program are H.R. 8036; H.R.4373; H.R. 1437; HR 2617,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/1a10843f-1fac-4f5a-a479-ed5ff0544a37/; https://lda.gov/filings/public/filing/1a10843f-1fac-4f5a-a479-ed5ff0544a37/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
3,4,13d9178354aee652,117-hr-1437,117-229,Economics and Public Finance,EMERGENT BIOSOLUTIONS INC.,"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,0f37a2b410805f4d,20,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"NDAA for Fiscal Year 2023 - provisions related to biological and chemical defense and access to naloxone HR 2617 - Consolidated Appropriations Act, 2023 (Omnibus) HR 1437 - Further Continuing Appropriations and Extensions Act State Opioid Response (SOR) Grants funding H.R. 2379 - The State Opioid Response Grant Authorization Act of 2021 S...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/a5a7b87b-c5bc-44e3-a13c-79de99af732c/; https://lda.gov/filings/public/filing/a5a7b87b-c5bc-44e3-a13c-79de99af732c/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
4,5,5d7b27113fc077ff,117-hr-1437,117-229,Economics and Public Finance,EMERGENT BIOSOLUTIONS INC.,"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",Homeland Security,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,4cf9ec04bc05dcdd,21,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"NDAA for Fiscal Year 2023 - provisions related to biological and chemical defense and access to naloxone HR 2617 - Consolidated Appropriations Act, 2023 (Omnibus) HR 1437 - Further Continuing Appropriations and Extensions Act State Opioid Response (SOR) Grants funding H.R. 2379 - The State Opioid Response Grant Authorization Act of 2021 S...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/a5a7b87b-c5bc-44e3-a13c-79de99af732c/; https://lda.gov/filings/public/filing/a5a7b87b-c5bc-44e3-a13c-79de99af732c/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
5,6,23e3feefb88603c0,117-hr-1437,117-229,Economics and Public Finance,EMERGENT BIOSOLUTIONS INC.,"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",Disaster Planning/Emergencies,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,baad12bb46559bbb,22,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"NDAA for Fiscal Year 2023 - provisions related to biological and chemical defense and access to naloxone HR 2617 - Consolidated Appropriations Act, 2023 (Omnibus) HR 1437 - Further Continuing Appropriations and Extensions Act State Opioid Response (SOR) Grants funding H.R. 2379 - The State Opioid Response Grant Authorization Act of 2021 S...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/a5a7b87b-c5bc-44e3-a13c-79de99af732c/; https://lda.gov/filings/public/filing/a5a7b87b-c5bc-44e3-a13c-79de99af732c/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
6,7,b130060e47ed110e,117-hr-1437,117-229,Economics and Public Finance,EMERGENT BIOSOLUTIONS INC.,"ERVIN GRAVES STRATEGY GROUP, LLC",Disaster Planning/Emergencies,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,e4a72f8667ecf9d0,23,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"NDAA for Fiscal Year 2023 - provisions related to biological and chemical defense and access to naloxone; HR 2617 - Consolidated Appropriations Act, 2023 (Omnibus); HR 1437 - Further Continuing Appropriations and Extensions Act; Opioid and heroin addiction legislation, naloxone access and awareness and opioid prescribing guidelines; Issues...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/820e47b3-ed38-4149-a341-b3f7a01a904b/; https://lda.gov/filings/public/filing/820e47b3-ed38-4149-a341-b3f7a01a904b/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
7,8,ecb6b28ce5e933a3,117-hr-1652,117-27,Crime and Law Enforcement,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,7defa48ef90eb116,25,all_provisions,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_all_provisions_without_direction,current_bill_all_provisions_without_direction,activity_text_lists_current_bill_all_provisions_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet lists all provisions of the current bill without a stated direction.,"...t,"" all provisions. HR 5376 ""Build Back Better Act,"" all provisions. S 2868 ""A bill to temporarily extend the public debt limit until December 16, 2022,"" all provisions. HR 1652 ""VOCA Fix to Sustain the Crime Victims Fund Act of 2021,"" all provisions in SAmdt 2121.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1652; https://lda.gov/api/v1/filings/fbf81348-1d2f-4382-b40c-53353f4d4a60/; https://lda.gov/filings/public/filing/fbf81348-1d2f-4382-b40c-53353f4d4a60/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1652,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
8,9,e80dda05df019d45,117-hr-2472,117-269,Government Operations and Politics,AMERICAN VAPOR MANUFACTURERS,"ERVIN GRAVES STRATEGY GROUP, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,1360e875c9794c58,26,position_on,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_position_represented_without_direction,current_bill_position_represented_without_direction,activity_text_says_position_on_or_represent_position_to_congress_without_stating_direction,reviewed_generic_congress_text_reference,generic_congress_reference,congress,activity_text_says_represent_to_congress_but_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet says a position was represented for the current bill context but does not state the direction.,"Strategic Planning, represent to congress position on appropriations, HR 2472, Consolidated Appropriations Act, Produce background documents on industry.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/2472; https://lda.gov/api/v1/filings/195ea81a-55cd-499d-828a-651ce18c6b6b/; https://lda.gov/filings/public/filing/195ea81a-55cd-499d-828a-651ce18c6b6b/print/; https://www.congress.gov/bill/117th-congress/hr-bill/2472,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
9,10,c71611168cabba65,117-hr-2472,117-269,Government Operations and Politics,AMERICAN VAPOR MANUFACTURERS,"ERVIN GRAVES STRATEGY GROUP, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,5,29485a35998040a5; 2d11138cfd8add19; 3a92c15c2f652e57; 53ba7c18c0da91eb; 831886f2ff8ed647,27; 28; 29; 30; 31,position_on,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_position_represented_without_direction,current_bill_position_represented_without_direction,activity_text_says_position_on_or_represent_position_to_congress_without_stating_direction,reviewed_generic_congress_text_reference,generic_congress_reference,congress,activity_text_says_represent_to_congress_but_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet says a position was represented for the current bill context but does not state the direction.,"Strategic Planning, represent to congress position on appropriations, HR 2472, Consolidated Appropriations Act, Produce background documents on industry.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/2472; https://lda.gov/api/v1/filings/25e4a05b-cdff-4e7f-9940-f37fe63b41a2/; https://lda.gov/api/v1/filings/5306a1b3-7b34-4feb-a539-7dc5e8c6e494/; https://lda.gov/api/v1/filings/ca11ae06-ac26-4cdf-bf62-2095b0562718/; https://lda.gov/api/v1/filings/e34480ef-a959-47bc-819d-9d826f3848b4/; https://lda.gov/api/v1/filings/f8a74892-f68a-42d1-8769-866dcab3e7cd/; https://lda.gov/filings/public/filing/25e4a05b-cdff-4e7f-9940-f37fe63b41a2/print/; https://lda.gov/filings/public/filing/5306a1b3-7b34-4feb-a539-7dc5e8c6e494/print/; https://lda.gov/filings/public/filing/ca11ae06-ac26-4cdf-bf62-2095b0562718/print/; https://lda.gov/filings/public/filing/e34480ef-a959-47bc-819d-9d826f3848b4/print/; https://lda.gov/filings/public/filing/f8a74892-f68a-42d1-8769-866dcab3e7cd/print/; https://www.congress.gov/bill/117th-congress/hr-bill/2472,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
10,12,dcc4789249f1a508,117-hr-4346,117-167,"Science, Technology, Communications","DPWN HOLDINGS (USA) INC. (FORMERLY KNOWN AS DEUTSCHE POST WORLD NET-USA, INC.)","DPWN HOLDINGS (USA) INC. (FORMERLY KNOWN AS DEUTSCHE POST WORLD NET USA, INC.)",Homeland Security,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,070876384143be76,34,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...the current de minimis level. S. 3600 Cyber Incident Reporting for Critical Infrastructure Act-clarifications related to reporting timing and recordkeeping requirements. H.R. 4346 - The CHIPS and Science Act (P.L. 117-167, H.R. 6413 - Import and Security Fairness Act Discussions related to the draft The Customs Modernization Act of 2021 to update...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/4346; https://lda.gov/api/v1/filings/9bdf7e6f-90d3-4ec6-b273-85f3b7af7cc7/; https://lda.gov/filings/public/filing/9bdf7e6f-90d3-4ec6-b273-85f3b7af7cc7/print/; https://www.congress.gov/bill/117th-congress/hr-bill/4346,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
