effective_text_review_rank,review_rank,target_review_packet_rank,text_diff_rank,bill_id,public_law_number,enacted_date,target_reference,target_reference_type,normalized_title,normalized_section,codified_lineage_relationship,target_section_diff_review_status,source_reviewed_target_section_diff,pre_edition,post_edition,pre_olrc_url,post_olrc_url,current_olrc_url,current_olrc_scan_status,current_olrc_http_status,current_official_text_sha256,current_official_text_bytes,current_section_heading,current_public_law_reference_hits,current_public_law_reference_status,post_public_law_context_count,pre_normalized_text_sha256,post_normalized_text_sha256,current_effective_text_review_status,law_revision_effective_text_reviewed,effective_text_source_basis,effective_text_review_summary,public_law_causal_attribution,source_review_notes,evidence_layers,missing_links,claim_boundary
1,1,15,15,117-hr-5376,117-169,2022-08-16,26 USC 4501,direct_us_code_reference,26,4501,added_target_section,reviewed_added_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section4501,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section4501,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section4501,official_olrc_current_section_page_fetched,200,7eca2cd69a600dd53a34ea5bc0a43f1a7d10b96431aff5d8e0b5734aa6dd8dff,162589,§4501. Repurchase of corporate stock,2,current_page_mentions_public_law,2,39d6efccad7c08d922f6c4816c30ce6c68f665c3520efcda26e06c306af9836a,4a29e0768a16d496e7821b1c3da1b86ac24e9f3c48d8f329869d1eae47255fdf,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
2,2,16,16,117-hr-5376,117-169,2022-08-16,26 USC 55,direct_us_code_reference,26,55,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section55,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section55,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section55,official_olrc_current_section_page_fetched,200,b75bff60f04811f2a90cebc2c90fb3417b16e9344839d74c6e9fd1ef74976a4e,266523,§55. Alternative minimum tax imposed,8,current_page_mentions_public_law,3,07bf11df8255551d4d4ae809eebbe4ba7d0c636f6bb0634557b0d0dc208dcf1f,80aca1df880e69d1afa67901f7f7fbd31a44a419403b2af1c6711e51f93f3a29,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
3,3,17,17,117-hr-5376,117-169,2022-08-16,26 USC 56A,direct_us_code_reference,26,56A,added_target_section,reviewed_added_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section56A,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section56A,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section56A,official_olrc_current_section_page_fetched,200,580c7e8b2cf8b973363d1ee4e0958725945827b982a145a9117a2e5da206e1a0,166204,§56A. Adjusted financial statement income,3,current_page_mentions_public_law,3,7d641292e606ea628de81f96717988db7562a0f46dcea58db5884c59b05272b1,2f31769e6e0974cee04a4cfe7c1ad983b450a834c7f1696e35791b5094f16735,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
4,4,18,18,117-hr-5376,117-169,2022-08-16,26 USC 59,direct_us_code_reference,26,59,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section59,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section59,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section59,official_olrc_current_section_page_fetched,200,de066f54cabfb407022304ca52d8cd381df0858b03ad3fa46cee867716851587,214401,§59. Other definitions and special rules,6,current_page_mentions_public_law,3,669e6fa9575bafc43347ae653410086c5468941908ee969317c8bfd1e0ba4643,91f5303443cce6a954ad0b747def11a8ac76cf32c241fb5bde73cbb995a62eee,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
5,5,19,19,117-hr-5376,117-169,2022-08-16,26 USC 11 note,direct_us_code_reference,26,11,amended_existing_target_section_with_effective_date_note,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section11,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section11,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section11,official_olrc_current_section_page_fetched,200,0829bbabad7815ebdc157c0f5cb9da3e11ae2cc3b195652104a4fb2b2bfec627,188617,§11. Tax imposed,3,current_page_mentions_public_law,3,5220cb6bc130c627fbc9c2177e495505408e4cff7663f00554219cbf6c333b6b,e4bb90bda0b96a4775e395741ddacd67c67c4c744eac7d9beb7d1fbe1382a302,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
6,6,20,20,117-hr-5376,117-169,2022-08-16,26 USC 38,direct_us_code_reference,26,38,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section38,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section38,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section38,official_olrc_current_section_page_fetched,200,19c428af4b5ce179d16e2eae2aad0851c943907df382fe15cedfb8d3ad0813a2,328832,§38. General business credit,28,current_page_mentions_public_law,3,8950284a1ae9ba3d905815ef59047bf9905f4826c7d24fbf3cce3dc3cc9bd0b2,3c6fd539ed8a886946d6273f405e66719c973f070da134884c8572a5727e1033,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
7,7,21,21,117-hr-5376,117-169,2022-08-16,26 USC 4501 note,direct_us_code_reference,26,4501,added_target_section_with_effective_date_note,reviewed_added_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section4501,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section4501,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section4501,official_olrc_current_section_page_fetched,200,da040ae737b9edfa996d952cc8849b2f4b965b298a08b559379a453df856e1dd,162569,§4501. Repurchase of corporate stock,2,current_page_mentions_public_law,2,39d6efccad7c08d922f6c4816c30ce6c68f665c3520efcda26e06c306af9836a,4a29e0768a16d496e7821b1c3da1b86ac24e9f3c48d8f329869d1eae47255fdf,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
8,8,22,22,117-hr-5376,117-169,2022-08-16,26 USC 860E,direct_us_code_reference,26,860E,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section860E,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section860E,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section860E,official_olrc_current_section_page_fetched,200,038a76412e1670a9e1c2a3f98bae7f648e2fcb6f866de3299a30b7087132984a,171534,§860E. Treatment of income in excess of daily accruals on residual interests,4,current_page_mentions_public_law,3,7c86605386cb7cf5af44951bcaa4699f80214f64066abe51207f8711126f5f82,a35bc3213243338c3e0ad8d4c61dfd8c565f05568c727d968dd2a66f9244e32b,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
9,9,1,1,117-hr-1437,117-229,2022-12-16,18 USC 3551 note,direct_us_code_reference,18,3551,amended_existing_target_section_with_effective_date_note,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3551,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3551,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section3551,official_olrc_current_section_page_fetched,200,9e02ffa7ece46ce317a4a21b97b165a2f7beff2e81fde3af7c7ed929af6988d6,199477,§3551. Authorized sentences,5,current_page_mentions_public_law,3,7110ab271c77099c3532c6b96cb8fa3ccd0f6b27c08c3162928c4b35509f20fa,910ac189f480c85da4d93c768f202cfd6376335578598952983906b641c8aaff,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
10,10,2,2,117-hr-1437,117-229,2022-12-16,42 USC 1395ww note,direct_us_code_reference,42,1395ww,amended_existing_target_section_with_effective_date_note,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title42-section1395ww,official_olrc_current_section_page_fetched,200,bf3af57e1d1bc8de44ed28be748e13ebf5ef94b1b63eea1bcbaacc8ad80c825b,1577643,§1395ww. Payments to hospitals for inpatient hospital services,14,current_page_mentions_public_law,3,1217b097461d3142fa62da16449b6eb0ae483d536f26416e37b49483a20ecf3f,da2ce910ea37a00c9f5a3fc622f48aa7d1306933c57fa14da80d6a981c432691,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
