review_queue_rank,lifecycle_review_rank,bill_id,public_law_number,policy_area,case_id,case_name,term,decision_date,matched_usc_sections,court_usc_sections,authority_document_numbers,authority_agencies,scdb_invalidated,signed_opinion,vote_margin,direct_review_status,review_question,review_search_terms,review_sources_needed,evidence_layers,missing_links,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,1952-008,"UNITED STATES v. BEACON BRASS CO., INC. ET AL.",1952,11/10/1952,18 U.S.C. 1001,18 U.S.C. 1001,2023-16252; 2024-17021; 2025-14681,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,7,needs_direct_case_to_public_law_review,"Does SCDB case 1952-008 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (18 U.S.C. 1001) with Federal Register authority citations?","""UNITED STATES v. BEACON BRASS CO., INC. ET AL."" ""117-229"" ""117-hr-1437"" ""18 U.S.C. 1001""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
2,1,117-hr-1437,117-229,Economics and Public Finance,1954-048,UNITED STATES v. BRAMBLETT,1954,4/4/1955,18 U.S.C. 1001,18 U.S.C. 1001,2023-16252; 2024-17021; 2025-14681,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,6,needs_direct_case_to_public_law_review,"Does SCDB case 1954-048 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (18 U.S.C. 1001) with Federal Register authority citations?","""UNITED STATES v. BRAMBLETT"" ""117-229"" ""117-hr-1437"" ""18 U.S.C. 1001""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
3,1,117-hr-1437,117-229,Economics and Public Finance,1961-012,KILLIAN v. UNITED STATES,1961,12/11/1961,18 U.S.C. 1001,18 U.S.C. 1001,2023-16252; 2024-17021; 2025-14681,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,1,needs_direct_case_to_public_law_review,"Does SCDB case 1961-012 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (18 U.S.C. 1001) with Federal Register authority citations?","""KILLIAN v. UNITED STATES"" ""117-229"" ""117-hr-1437"" ""18 U.S.C. 1001""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
4,1,117-hr-1437,117-229,Economics and Public Finance,1969-007,BRYSON v. UNITED STATES,1969,12/8/1969,18 U.S.C. 1001,18 U.S.C. 1001,2023-16252; 2024-17021; 2025-14681,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,4,needs_direct_case_to_public_law_review,"Does SCDB case 1969-007 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (18 U.S.C. 1001) with Federal Register authority citations?","""BRYSON v. UNITED STATES"" ""117-229"" ""117-hr-1437"" ""18 U.S.C. 1001""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
5,1,117-hr-1437,117-229,Economics and Public Finance,1983-084,UNITED STATES v. RODGERS,1983,4/30/1984,18 U.S.C. 1001,18 U.S.C. 1001,2023-16252; 2024-17021; 2025-14681,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,9,needs_direct_case_to_public_law_review,"Does SCDB case 1983-084 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (18 U.S.C. 1001) with Federal Register authority citations?","""UNITED STATES v. RODGERS"" ""117-229"" ""117-hr-1437"" ""18 U.S.C. 1001""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
6,1,117-hr-1437,117-229,Economics and Public Finance,1983-145,UNITED STATES v. YERMIAN,1983,6/27/1984,18 U.S.C. 1001,18 U.S.C. 1001,2023-16252; 2024-17021; 2025-14681,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,1,needs_direct_case_to_public_law_review,"Does SCDB case 1983-145 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (18 U.S.C. 1001) with Federal Register authority citations?","""UNITED STATES v. YERMIAN"" ""117-229"" ""117-hr-1437"" ""18 U.S.C. 1001""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
7,1,117-hr-1437,117-229,Economics and Public Finance,1994-055,JOHN BRUCE HUBBARD v. UNITED STATES,1994,5/15/1995,18 U.S.C. 1001,18 U.S.C. 1001,2023-16252; 2024-17021; 2025-14681,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,3,needs_direct_case_to_public_law_review,"Does SCDB case 1994-055 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (18 U.S.C. 1001) with Federal Register authority citations?","""JOHN BRUCE HUBBARD v. UNITED STATES"" ""117-229"" ""117-hr-1437"" ""18 U.S.C. 1001""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
8,1,117-hr-1437,117-229,Economics and Public Finance,1997-024,JAMES BROGAN v. UNITED STATES,1997,1/26/1998,18 U.S.C. 1001,18 U.S.C. 1001,2023-16252; 2024-17021; 2025-14681,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,5,needs_direct_case_to_public_law_review,"Does SCDB case 1997-024 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (18 U.S.C. 1001) with Federal Register authority citations?","""JAMES BROGAN v. UNITED STATES"" ""117-229"" ""117-hr-1437"" ""18 U.S.C. 1001""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
9,1,117-hr-1437,117-229,Economics and Public Finance,2003-032,"BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR",2003,2/24/2004,5 U.S.C. 552,5 U.S.C. 552,2022-24728; 2022-26358; 2022-26814; 2022-27236; 2023-16252; 2023-18457; 2024-17021; 2024-24886; 2024-29353; 2025-14681,Centers for Medicare & Medicaid Services; Employment and Training Administration; Federal Aviation Administration; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Labor Department; Maritime Administration; Office of the Secretary; Transportation Department,0,1,3,needs_direct_case_to_public_law_review,"Does SCDB case 2003-032 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (5 U.S.C. 552) with Federal Register authority citations?","""BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR"" ""117-229"" ""117-hr-1437"" ""5 U.S.C. 552""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
10,1,117-hr-1437,117-229,Economics and Public Finance,2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",2010,1/19/2011,5 U.S.C. 552,5 U.S.C. 552,2022-24728; 2022-26358; 2022-26814; 2022-27236; 2023-16252; 2023-18457; 2024-17021; 2024-24886; 2024-29353; 2025-14681,Centers for Medicare & Medicaid Services; Employment and Training Administration; Federal Aviation Administration; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Labor Department; Maritime Administration; Office of the Secretary; Transportation Department,0,1,8,needs_direct_case_to_public_law_review,"Does SCDB case 2010-010 directly challenge, review, interpret, or invalidate public law 117-229 / 117-hr-1437, or does it only share U.S.C. section metadata (5 U.S.C. 552) with Federal Register authority citations?","""NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al."" ""117-229"" ""117-hr-1437"" ""5 U.S.C. 552""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
