packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,target_issue_construct,primary_survey_source_family,policy_preference_source_name,policy_preference_dataset_doi,policy_preference_dataset_version,policy_preference_dataset_release_time,candidate_policy_preference_item_ids,candidate_policy_preference_item_count,candidate_policy_preference_issue_areas,candidate_policy_preference_short_labels,candidate_item_review_status,exact_bill_topic_support_status,district_estimation_status,affected_group_item_status,required_next_action,source_urls,evidence_layers,missing_links,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,NJ-11,"tax, spending, inflation, or fiscal-policy bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_education; spending_healthcare; spending_infrastructure; spending_vs_tax; spending_welfare,8,Other; Spending,incometax_vs_salestax: Preference between income tax and sales tax; spending_cuts_least: Least preferred spending cut option; spending_cuts_most: Most preferred spending cut option; spending_education: Spending preferences on education; spending_healthcare: Spending preferences on health care; spending_infrastructure: Spending preferences on transportation and infrastructure; spending_vs_tax: Preference between tax increases and spending cuts; spending_welfare: Spending preferences on welfare,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
2,2,117-hr-5376,117-169,Economics and Public Finance,KY-03,"tax, spending, inflation, or fiscal-policy bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_education; spending_healthcare; spending_infrastructure; spending_vs_tax; spending_welfare,8,Other; Spending,incometax_vs_salestax: Preference between income tax and sales tax; spending_cuts_least: Least preferred spending cut option; spending_cuts_most: Most preferred spending cut option; spending_education: Spending preferences on education; spending_healthcare: Spending preferences on health care; spending_infrastructure: Spending preferences on transportation and infrastructure; spending_vs_tax: Preference between tax increases and spending cuts; spending_welfare: Spending preferences on welfare,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
3,3,117-hr-6833,117-180,Economics and Public Finance,MN-02,"tax, spending, inflation, or fiscal-policy bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_education; spending_healthcare; spending_infrastructure; spending_vs_tax; spending_welfare,8,Other; Spending,incometax_vs_salestax: Preference between income tax and sales tax; spending_cuts_least: Least preferred spending cut option; spending_cuts_most: Most preferred spending cut option; spending_education: Spending preferences on education; spending_healthcare: Spending preferences on health care; spending_infrastructure: Spending preferences on transportation and infrastructure; spending_vs_tax: Preference between tax increases and spending cuts; spending_welfare: Spending preferences on welfare,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
4,4,117-hr-7776,117-263,Armed Forces and National Security,OR-04,"defense, veterans, or national-security bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; spending_cuts_least; spending_cuts_most,8,Military; Spending,military_democracy: Approve of military action to assist democracy; military_genocide: Approve of military action to intervene in genocide or civil war; military_helpun: Approve of military action to help the United Nations; military_oil: Approve of military action to ensure oil supply; military_protectallies: Approve of military action to protect allies; military_terroristcamp: Approve of military action to destroy terrorist camps; spending_cuts_least: Least preferred spending cut option; spending_cuts_most: Most preferred spending cut option,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
5,5,117-hr-7925,117-238,Armed Forces and National Security,CA-36,"defense, veterans, or national-security bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; spending_cuts_least; spending_cuts_most,8,Military; Spending,military_democracy: Approve of military action to assist democracy; military_genocide: Approve of military action to intervene in genocide or civil war; military_helpun: Approve of military action to help the United Nations; military_oil: Approve of military action to ensure oil supply; military_protectallies: Approve of military action to protect allies; military_terroristcamp: Approve of military action to destroy terrorist camps; spending_cuts_least: Least preferred spending cut option; spending_cuts_most: Most preferred spending cut option,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
6,6,117-hr-6604,117-297,Armed Forces and National Security,FL-16,"defense, veterans, or national-security bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; spending_cuts_least; spending_cuts_most,8,Military; Spending,military_democracy: Approve of military action to assist democracy; military_genocide: Approve of military action to intervene in genocide or civil war; military_helpun: Approve of military action to help the United Nations; military_oil: Approve of military action to ensure oil supply; military_protectallies: Approve of military action to protect allies; military_terroristcamp: Approve of military action to destroy terrorist camps; spending_cuts_least: Least preferred spending cut option; spending_cuts_most: Most preferred spending cut option,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
7,7,117-hr-7132,117-223,"Science, Technology, Communications",NH-02,"technology, communications, broadband, research, or science-policy bill support",CES/CCES,Cumulative CES Policy Preferences,,,,,0,,,no_official_ces_policy_preference_candidate_item_for_policy_area,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
8,8,117-hr-4346,117-167,"Science, Technology, Communications",OH-13,"technology, communications, broadband, research, or science-policy bill support",CES/CCES,Cumulative CES Policy Preferences,,,,,0,,,no_official_ces_policy_preference_candidate_item_for_policy_area,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
9,9,117-hr-2472,117-269,Government Operations and Politics,OH-06,"government-operations, democracy, ethics, or institutional-reform bill support",CES/CCES,Cumulative CES Policy Preferences,,,,,0,,,no_official_ces_policy_preference_candidate_item_for_policy_area,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
10,10,117-hr-7352,117-166,Commerce,NY-07,"commerce, consumer, or business-regulation bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,trade_canmex_except; trade_canmex_include; trade_china,3,Trade,trade_canmex_except: Trade policy toward Canada and Mexico excluding some sectors; trade_canmex_include: Trade policy toward Canada and Mexico including more sectors; trade_china: Trade policy toward China,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
