triage_rank,review_queue_rank,bill_id,public_law_number,case_id,case_name,decision_date,enacted_date,days_after_enactment,matched_usc_sections,temporal_status,direct_review_status_after_temporal_screen,next_review_action,evidence_layers,missing_links,claim_boundary
1,30,117-s-3373,117-168,2022-003,ARELLANO v. MCDONOUGH,1/23/2023,2022-08-10,166,38 U.S.C. 5110,post_enactment_possible_needs_direct_source_review,post_enactment_source_review_needed,"Review the Supreme Court opinion or syllabus, cited-statute table, public-law text, and authority document for a direct link.",court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
2,1,117-hr-1437,117-229,1952-008,"UNITED STATES v. BEACON BRASS CO., INC. ET AL.",11/10/1952,2022-12-16,-25603,18 U.S.C. 1001,pre_enactment_impossible_direct_review_of_listed_public_law,temporally_excluded_for_listed_public_law,Do not code as direct review of this public law; reserve review only for older statute or codification-lineage questions.,court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
3,2,117-hr-1437,117-229,1954-048,UNITED STATES v. BRAMBLETT,4/4/1955,2022-12-16,-24728,18 U.S.C. 1001,pre_enactment_impossible_direct_review_of_listed_public_law,temporally_excluded_for_listed_public_law,Do not code as direct review of this public law; reserve review only for older statute or codification-lineage questions.,court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
4,3,117-hr-1437,117-229,1961-012,KILLIAN v. UNITED STATES,12/11/1961,2022-12-16,-22285,18 U.S.C. 1001,pre_enactment_impossible_direct_review_of_listed_public_law,temporally_excluded_for_listed_public_law,Do not code as direct review of this public law; reserve review only for older statute or codification-lineage questions.,court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
5,4,117-hr-1437,117-229,1969-007,BRYSON v. UNITED STATES,12/8/1969,2022-12-16,-19366,18 U.S.C. 1001,pre_enactment_impossible_direct_review_of_listed_public_law,temporally_excluded_for_listed_public_law,Do not code as direct review of this public law; reserve review only for older statute or codification-lineage questions.,court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
6,5,117-hr-1437,117-229,1983-084,UNITED STATES v. RODGERS,4/30/1984,2022-12-16,-14109,18 U.S.C. 1001,pre_enactment_impossible_direct_review_of_listed_public_law,temporally_excluded_for_listed_public_law,Do not code as direct review of this public law; reserve review only for older statute or codification-lineage questions.,court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
7,6,117-hr-1437,117-229,1983-145,UNITED STATES v. YERMIAN,6/27/1984,2022-12-16,-14051,18 U.S.C. 1001,pre_enactment_impossible_direct_review_of_listed_public_law,temporally_excluded_for_listed_public_law,Do not code as direct review of this public law; reserve review only for older statute or codification-lineage questions.,court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
8,7,117-hr-1437,117-229,1994-055,JOHN BRUCE HUBBARD v. UNITED STATES,5/15/1995,2022-12-16,-10077,18 U.S.C. 1001,pre_enactment_impossible_direct_review_of_listed_public_law,temporally_excluded_for_listed_public_law,Do not code as direct review of this public law; reserve review only for older statute or codification-lineage questions.,court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
9,8,117-hr-1437,117-229,1997-024,JAMES BROGAN v. UNITED STATES,1/26/1998,2022-12-16,-9090,18 U.S.C. 1001,pre_enactment_impossible_direct_review_of_listed_public_law,temporally_excluded_for_listed_public_law,Do not code as direct review of this public law; reserve review only for older statute or codification-lineage questions.,court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
10,9,117-hr-1437,117-229,2003-032,"BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR",2/24/2004,2022-12-16,-6870,5 U.S.C. 552,pre_enactment_impossible_direct_review_of_listed_public_law,temporally_excluded_for_listed_public_law,Do not code as direct review of this public law; reserve review only for older statute or codification-lineage questions.,court_public_law_review_queue; public_law_enacted_date_metadata; court_public_law_temporal_triage,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; reviewed_case_disposition_to_public_law; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Temporal triage only; rows compare SCDB decision dates to cached Congress.gov public-law enacted dates. A pre-enactment decision date rules out direct review of the listed public law, but the screen does not prove direct review for post-enactment rows and does not resolve older statutory lineage, codification, emergency-order, lower-court, causal-effect, welfare, or model-validation claims."
