caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2097,13.980,60.000,0.233,1.000,0.597,0.591,0.139,0.211,0.767,0.000,0.000,0.000,0.000,0.497,0.093,0.316,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,671,4.473,60.000,0.075,1.000,0.670,0.667,0.050,0.329,0.925,0.000,0.000,0.000,0.000,0.775,0.016,0.160,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7527,50.180,60.000,0.836,1.000,0.529,0.463,0.442,0.087,0.164,0.000,0.000,0.000,0.465,0.032,0.696,0.701,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1617,10.780,10.820,0.180,0.180,0.586,0.612,0.105,0.217,0.820,0.580,0.240,0.000,0.212,0.579,0.060,0.251,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5167,34.447,60.000,0.574,1.000,0.520,0.475,0.298,0.110,0.426,0.000,0.000,0.500,0.401,0.287,0.391,0.559,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,1732,11.547,11.640,0.192,0.194,0.582,0.638,0.112,0.243,0.808,0.806,0.000,0.000,0.221,0.579,0.059,0.231,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc-strong,Default pass + strong cross-bloc cosponsors,9000,60.000,511,3.407,3.407,0.057,0.057,0.636,0.728,0.036,0.349,0.943,0.943,0.000,0.000,0.061,0.833,0.012,0.136,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc-challenge,Default pass + cross-bloc cosponsors + challenge,9000,60.000,1369,9.127,11.560,0.152,0.193,0.604,0.647,0.092,0.267,0.848,0.807,0.000,0.129,0.063,0.637,0.042,0.212,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t3-s082,Default pass + party challenge vouchers t=3 s=.82,9000,60.000,7837,52.247,60.000,0.871,1.000,0.503,0.444,0.438,0.081,0.129,0.000,0.000,0.150,0.482,0.094,0.674,0.639,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t6-s082,Default pass + party challenge vouchers t=6 s=.82,9000,60.000,6687,44.580,60.000,0.743,1.000,0.508,0.454,0.378,0.090,0.257,0.000,0.000,0.300,0.457,0.178,0.556,0.617,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t15-s082,Default pass + party challenge vouchers t=15 s=.82,9000,60.000,3216,21.440,60.000,0.357,1.000,0.550,0.534,0.196,0.159,0.643,0.000,0.000,0.748,0.259,0.416,0.183,0.416,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t25-s082,Default pass + party challenge vouchers t=25 s=.82,9000,60.000,2325,15.500,60.000,0.258,1.000,0.581,0.580,0.150,0.204,0.742,0.000,0.000,0.887,0.099,0.483,0.100,0.307,0,0
