progress_rank,action_rank,bill_id,public_law_number,policy_area,codified_progress_status,codified_progress_summary,revision_flags,source_scan_usc_reference_count,source_scan_target_candidate_count,source_scan_no_structured_usc_target,reviewed_no_structured_usc_target_rows,triage_rows,triage_no_structured_target_rows,triage_candidate_rows,target_diff_review_rows,source_reviewed_target_section_diff_rows,reviewed_no_exact_target_section_diff_rows,unresolved_target_section_review_rows,target_lifecycle_bridge_rows,authority_exact_target_reference_rows,authority_base_section_rows,court_exact_target_reference_rows,court_base_section_rows,court_direct_review_status,closed_review_gates,next_codified_lineage_action,evidence_layers,missing_links,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,source_reviewed_target_section_diff_pilot_present,10 source-reviewed target-section diff rows attached; 0 reviewed no-exact-target rows and 0 unresolved rows also attached.,amended; reauthorized; expired,27,50,0,0,15,0,15,10,10,0,0,10,0,2,0,0,all_queued_court_overlaps_closed_without_direct_public_law_review,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,"Expand from source-reviewed target-section diffs to complete codified-lineage review, effective text, and causal-attribution checks before making stronger statutory-lineage claims.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; statutory_lineage_target_lifecycle_bridge_context,complete_codified_usc_lineage_review; public_law_causal_attribution; law_revision_effective_text; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
2,2,117-hr-5376,117-169,Economics and Public Finance,source_reviewed_target_section_diff_pilot_present,8 source-reviewed target-section diff rows attached; 0 reviewed no-exact-target rows and 0 unresolved rows also attached.,reauthorized,312,1005,0,0,12,0,12,8,8,0,0,8,0,0,0,0,all_queued_court_overlaps_closed_without_direct_public_law_review,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,"Expand from source-reviewed target-section diffs to complete codified-lineage review, effective text, and causal-attribution checks before making stronger statutory-lineage claims.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; statutory_lineage_target_lifecycle_bridge_context,complete_codified_usc_lineage_review; public_law_causal_attribution; law_revision_effective_text; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
3,3,117-hr-6833,117-180,Economics and Public Finance,source_reviewed_target_section_diff_pilot_present,3 source-reviewed target-section diff rows attached; 0 reviewed no-exact-target rows and 0 unresolved rows also attached.,amended; reauthorized; repealed; expired,109,320,0,0,33,0,33,3,3,0,0,3,0,0,0,0,all_queued_court_overlaps_closed_without_direct_public_law_review,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,"Expand from source-reviewed target-section diffs to complete codified-lineage review, effective text, and causal-attribution checks before making stronger statutory-lineage claims.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; statutory_lineage_target_lifecycle_bridge_context,complete_codified_usc_lineage_review; public_law_causal_attribution; law_revision_effective_text; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
4,4,117-hr-7776,117-263,Armed Forces and National Security,source_reviewed_target_section_diff_pilot_present,4 source-reviewed target-section diff rows attached; 0 reviewed no-exact-target rows and 0 unresolved rows also attached.,reauthorized,1558,5502,0,0,8,0,8,4,4,0,0,4,0,0,0,0,all_queued_court_overlaps_closed_without_direct_public_law_review,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,"Expand from source-reviewed target-section diffs to complete codified-lineage review, effective text, and causal-attribution checks before making stronger statutory-lineage claims.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; statutory_lineage_target_lifecycle_bridge_context,complete_codified_usc_lineage_review; public_law_causal_attribution; law_revision_effective_text; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
5,5,117-hr-7925,117-238,Armed Forces and National Security,reviewed_designation_law_no_structured_usc_target,1 source-reviewed no-structured-U.S.C.-target designation-law disposition rows attached; no target-section diff is applicable.,reviewed_no_structured_usc_target,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,all_queued_court_overlaps_closed_without_direct_public_law_review,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,"Treat target-section diff review as not applicable for the reviewed designation law; pursue remaining implementation, comments, public-opinion, finance/lobbying, court, or model-validation gaps without inferring a U.S.C. target.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_no_target_review; statutory_lineage_source_reviewed_no_structured_usc_target,source_reviewed_target_section_diff; target_section_diff_not_applicable_designation_law; public_law_causal_attribution_not_applicable_no_target; law_revision_effective_text_not_applicable_no_target; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review_not_applicable_no_target; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
6,6,117-hr-6604,117-297,Armed Forces and National Security,source_reviewed_target_section_diff_pilot_present,3 source-reviewed target-section diff rows attached; 0 reviewed no-exact-target rows and 0 unresolved rows also attached.,amended,1,8,0,0,3,0,3,3,3,0,0,3,0,0,0,0,no_queued_court_public_law_overlap,,"Expand from source-reviewed target-section diffs to complete codified-lineage review, effective text, and causal-attribution checks before making stronger statutory-lineage claims.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; statutory_lineage_target_lifecycle_bridge_context,complete_codified_usc_lineage_review; public_law_causal_attribution; law_revision_effective_text; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
7,7,117-hr-7132,117-223,"Science, Technology, Communications",source_reviewed_target_section_diff_pilot_present,3 source-reviewed target-section diff rows attached; 0 reviewed no-exact-target rows and 0 unresolved rows also attached.,none,8,14,0,0,6,0,6,3,3,0,0,3,1,1,0,0,all_queued_court_overlaps_closed_without_direct_public_law_review,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,"Expand from source-reviewed target-section diffs to complete codified-lineage review, effective text, and causal-attribution checks before making stronger statutory-lineage claims.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; statutory_lineage_target_lifecycle_bridge_context,complete_codified_usc_lineage_review; public_law_causal_attribution; law_revision_effective_text; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
8,8,117-s-3373,117-168,Armed Forces and National Security,source_reviewed_target_section_diff_pilot_present,11 source-reviewed target-section diff rows attached; 0 reviewed no-exact-target rows and 0 unresolved rows also attached.,none,65,238,0,0,13,0,13,11,11,0,0,11,3,6,0,0,all_queued_court_overlaps_closed_without_direct_public_law_review,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,"Expand from source-reviewed target-section diffs to complete codified-lineage review, effective text, and causal-attribution checks before making stronger statutory-lineage claims.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; statutory_lineage_target_lifecycle_bridge_context,complete_codified_usc_lineage_review; public_law_causal_attribution; law_revision_effective_text; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
9,9,117-hr-4346,117-167,"Science, Technology, Communications",source_reviewed_target_section_diff_pilot_present,7 source-reviewed target-section diff rows attached; 1 reviewed no-exact-target rows and 0 unresolved rows also attached.,amended; reauthorized; repealed,483,1086,0,0,13,0,13,8,7,1,0,8,2,2,0,0,no_queued_court_public_law_overlap,,"Expand from source-reviewed target-section diffs to complete codified-lineage review, effective text, and causal-attribution checks before making stronger statutory-lineage claims.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; statutory_lineage_target_lifecycle_bridge_context,complete_codified_usc_lineage_review; public_law_causal_attribution; law_revision_effective_text; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
10,10,117-hr-2472,117-269,Government Operations and Politics,reviewed_designation_law_no_structured_usc_target,1 source-reviewed no-structured-U.S.C.-target designation-law disposition rows attached; no target-section diff is applicable.,reviewed_no_structured_usc_target,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,all_queued_court_overlaps_closed_without_direct_public_law_review,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,"Treat target-section diff review as not applicable for the reviewed designation law; pursue remaining implementation, comments, public-opinion, finance/lobbying, court, or model-validation gaps without inferring a U.S.C. target.",bill_law_lifecycle_next_actions; statutory_lineage_source_scan; statutory_lineage_codified_progress_status; statutory_lineage_target_section_triage; statutory_lineage_no_target_review; statutory_lineage_source_reviewed_no_structured_usc_target,source_reviewed_target_section_diff; target_section_diff_not_applicable_designation_law; public_law_causal_attribution_not_applicable_no_target; law_revision_effective_text_not_applicable_no_target; implementation_outcomes_or_enforcement; complete_regulations_comments; direct_target_section_court_review_not_applicable_no_target; welfare_or_public_benefit; model_validation,"Codified-lineage progress status only; rows classify whether the current lifecycle candidate has source-reviewed target-section diff rows, reviewed related-section/no-exact-target dispositions, unresolved target-section review rows, reviewed designation-law no-structured-U.S.C.-target dispositions, or an unresolved official public-law source scan with no structured U.S.C. target. This report does not establish full codified lineage, public-law causal attribution, law-revision effective text, implementation outcomes, direct court review, welfare, causal effects, or model validation."
