packet_rank,bill_id,public_law_number,policy_area,sponsor_districts,acs_context_district_count,matched_acs_context_districts,missing_acs_context_districts,total_acs_population_est,total_veterans_est,veteran_share,total_foreign_born_est,total_not_us_citizen_est,noncitizen_share,total_non_english_home_language_est,non_english_home_language_share,total_with_disability_est,with_disability_share,total_below_poverty_est,below_poverty_share,total_civilian_labor_force_est,total_unemployed_est,unemployment_rate,mean_median_household_income_est,total_households_est,total_no_internet_access_est,no_internet_access_share,black_alone_share,asian_alone_share,hispanic_or_latino_share,selected_acs_context_fields,still_missing_policy_specific_fields,acs_context_status,acs_context_source,evidence_layers,missing_links,source_urls,claim_boundary
1,117-hr-1437,117-229,Economics and Public Finance,NJ-11,1,NJ-11,,757864,23677,0.0396,142105,47615,0.0628,173113,0.2408,62722,0.0836,32177,0.0433,419428,21620,0.0515,126661.000,280525,13161,0.0469,0.0385,0.1064,0.1179,poverty; employment; unemployment; median_household_income; households,program beneficiary/taxpayer denominator selected from bill text; fiscal incidence; bill-topic public support,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
2,117-hr-5376,117-169,Economics and Public Finance,KY-03,1,KY-03,,754909,41048,0.0700,64255,35988,0.0477,73985,0.1044,105547,0.1413,104309,0.1412,399810,21313,0.0533,60397.000,313557,31072,0.0991,0.2257,0.0294,0.0612,poverty; employment; unemployment; median_household_income; households,program beneficiary/taxpayer denominator selected from bill text; fiscal incidence; bill-topic public support,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
3,117-hr-6833,117-180,Economics and Public Finance,MN-02,1,MN-02,,725672,35236,0.0646,63738,25691,0.0354,82033,0.1205,65523,0.0909,38847,0.0544,411363,15509,0.0377,94315.000,271473,16370,0.0603,0.0551,0.0493,0.0661,poverty; employment; unemployment; median_household_income; households,program beneficiary/taxpayer denominator selected from bill text; fiscal incidence; bill-topic public support,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
4,117-hr-7776,117-263,Armed Forces and National Security,OR-04,1,OR-04,,818485,65852,0.0991,42692,23168,0.0283,60854,0.0781,144706,0.1777,125405,0.1568,391942,27116,0.0692,57728.000,335899,29309,0.0873,0.0079,0.0243,0.0846,veterans; civilian_population_18_plus; median_household_income; poverty; disability,active-duty population; military-family status; bill-text-specific veteran or defense affected group; veteran support/harm source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
5,117-hr-7925,117-238,Armed Forces and National Security,CA-36,1,CA-36,,747370,40969,0.0698,159536,78493,0.1050,285525,0.4037,107139,0.1455,116876,0.1590,330197,30012,0.0909,57732.000,280032,25420,0.0908,0.0491,0.0350,0.5042,veterans; civilian_population_18_plus; median_household_income; poverty; disability,active-duty population; military-family status; bill-text-specific veteran or defense affected group; veteran support/harm source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
6,117-hr-6604,117-297,Armed Forces and National Security,FL-16,1,FL-16,,861259,71308,0.1031,114841,52043,0.0604,156062,0.1902,116429,0.1365,86910,0.1022,395257,19237,0.0487,69485.000,343754,24390,0.0710,0.0958,0.0215,0.1793,veterans; civilian_population_18_plus; median_household_income; poverty; disability,active-duty population; military-family status; bill-text-specific veteran or defense affected group; veteran support/harm source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
7,117-hr-7132,117-223,"Science, Technology, Communications",NH-02,1,NH-02,,677452,44867,0.0818,40948,17902,0.0264,51886,0.0803,85933,0.1285,48079,0.0733,372199,13470,0.0362,82270.000,263572,20792,0.0789,0.0142,0.0269,0.0414,internet_access; education_proxy_not_included; income; age_proxy_not_included; employment,computer-device access; broadband availability/adoption by target group; privacy/technology support item,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
8,117-hr-4346,117-167,"Science, Technology, Communications",OH-13,1,OH-13,,703031,42945,0.0762,23503,9838,0.0140,38163,0.0573,111335,0.1605,117613,0.1724,354049,23134,0.0653,50500.000,299607,37745,0.1260,0.1174,0.0202,0.0370,internet_access; education_proxy_not_included; income; age_proxy_not_included; employment,computer-device access; broadband availability/adoption by target group; privacy/technology support item,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
9,117-hr-2472,117-269,Government Operations and Politics,OH-06,1,OH-06,,689093,47471,0.0873,6848,2767,0.0040,15317,0.0235,120822,0.1796,98574,0.1479,311829,17073,0.0548,53167.000,271252,45445,0.1675,0.0216,0.0051,0.0123,citizenship; language; disability; internet_access; race; ethnicity,voting-age citizen by access burden; election-administration exposure; democracy/trust survey item,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
10,117-hr-7352,117-166,Commerce,NY-07,1,NY-07,,752935,8610,0.0149,253543,122148,0.1622,410513,0.5861,66599,0.0891,161580,0.2173,386125,27473,0.0712,68032.000,260961,37402,0.1433,0.1014,0.1720,0.3909,employment; unemployment; median_household_income; poverty; internet_access,industry-specific affected firms/workers; small-business owner denominators; consumer harm/support source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
