review_rank,bill_id,public_law_number,policy_area,introduced_date,enacted_date,local_next_source_expansion,lda_search_rows,lda_api_reported_result_count,lda_fetched_filing_count,lda_unfetched_api_result_count,lda_exact_activity_match_rows,lda_exact_activity_match_filings,lda_exact_activity_match_clients,lda_search_terms,lda_search_years,lda_api_statuses,lda_search_disposition,lda_source_urls,campaign_external_scope_status,campaign_external_next_step,combined_external_review_status,evidence_layers,missing_links,source_url,claim_boundary
1,117-hr-6386,117-295,Government Operations and Politics,2022-01-12,2022-12-27,external_current_bill_lobbying_and_campaign_finance_target_search_needed,2,0,0,0,0,0,0,H.R. 6386; HR 6386,2022,ok,official_lda_external_search_no_exact_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+6386&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+6386&page_size=25,fec_public_records_need_candidate_committee_or_outside_spending_target_join,"Review public FEC/OpenFEC candidate, committee, receipt, and independent-expenditure target fields; do not infer bill-specific campaign-finance targeting from public FEC records without an external target/source document.",external_lda_no_exact_match_campaign_target_scope_pending,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+6386&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+6386&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
2,117-hr-1842,117-163,Finance and Financial Sector,2021-03-11,2022-08-03,external_current_bill_lobbying_target_search_needed,4,4,4,0,0,0,0,H.R. 1842; HR 1842,2021; 2022,ok,official_lda_external_search_no_exact_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=H.R.+1842&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=HR+1842&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+1842&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+1842&page_size=25,campaign_finance_external_search_not_in_current_row_scope,No campaign-finance target/source expansion is queued for this row after the local context review.,external_search_review_no_exact_lda_match_campaign_not_scoped,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=H.R.+1842&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=HR+1842&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+1842&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+1842&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
3,117-hr-3359,117-164,Crime and Law Enforcement,2021-05-19,2022-08-03,external_current_bill_lobbying_target_search_needed,4,51,51,0,46,16,1,H.R. 3359; HR 3359,2021; 2022,ok,official_lda_external_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=H.R.+3359&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=HR+3359&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+3359&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+3359&page_size=25,campaign_finance_external_search_not_in_current_row_scope,No campaign-finance target/source expansion is queued for this row after the local context review.,external_lda_bill_reference_found,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage; official_lda_filing_text_bill_identifier,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=H.R.+3359&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=HR+3359&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+3359&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+3359&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
4,117-hr-4693,117-214,International Affairs,2021-07-26,2022-10-19,external_current_bill_lobbying_target_search_needed,4,11,11,0,9,3,1,H.R. 4693; HR 4693,2021; 2022,ok,official_lda_external_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=H.R.+4693&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=HR+4693&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+4693&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+4693&page_size=25,campaign_finance_external_search_not_in_current_row_scope,No campaign-finance target/source expansion is queued for this row after the local context review.,external_lda_bill_reference_found,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage; official_lda_filing_text_bill_identifier,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=H.R.+4693&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=HR+4693&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+4693&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+4693&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
5,117-hr-6899,117-185,International Affairs,2022-03-02,2022-10-04,external_current_bill_lobbying_target_search_needed,2,0,0,0,0,0,0,H.R. 6899; HR 6899,2022,ok,official_lda_external_search_no_exact_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+6899&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+6899&page_size=25,campaign_finance_external_search_not_in_current_row_scope,No campaign-finance target/source expansion is queued for this row after the local context review.,external_search_review_no_exact_lda_match_campaign_not_scoped,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+6899&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+6899&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
6,117-hr-7334,117-165,Commerce,2022-03-31,2022-08-05,external_current_bill_lobbying_target_search_needed,2,0,0,0,0,0,0,H.R. 7334; HR 7334,2022,ok,official_lda_external_search_no_exact_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+7334&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+7334&page_size=25,campaign_finance_external_search_not_in_current_row_scope,No campaign-finance target/source expansion is queued for this row after the local context review.,external_search_review_no_exact_lda_match_campaign_not_scoped,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+7334&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+7334&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
7,117-s-3470,117-211,Government Operations and Politics,2022-01-11,2022-10-17,external_current_bill_lobbying_and_campaign_finance_target_search_needed,2,0,0,0,0,0,0,S 3470; S. 3470,2022,ok,official_lda_external_search_no_exact_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+3470&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+3470&page_size=25,fec_public_records_need_candidate_committee_or_outside_spending_target_join,"Review public FEC/OpenFEC candidate, committee, receipt, and independent-expenditure target fields; do not infer bill-specific campaign-finance targeting from public FEC records without an external target/source document.",external_lda_no_exact_match_campaign_target_scope_pending,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+3470&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+3470&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
8,117-s-3969,117-182,Government Operations and Politics,2022-03-30,2022-09-30,external_current_bill_lobbying_and_campaign_finance_target_search_needed,2,10,10,0,0,0,0,S 3969; S. 3969,2022,ok,official_lda_external_search_no_exact_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+3969&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+3969&page_size=25,fec_public_records_need_candidate_committee_or_outside_spending_target_join,"Review public FEC/OpenFEC candidate, committee, receipt, and independent-expenditure target fields; do not infer bill-specific campaign-finance targeting from public FEC records without an external target/source document.",external_lda_no_exact_match_campaign_target_scope_pending,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+3969&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+3969&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
9,117-s-3294,117-111,Congress,2021-12-01,2022-04-13,external_current_bill_campaign_finance_target_search_needed,4,116,116,0,0,0,0,S 3294; S. 3294,2021; 2022,ok,official_lda_external_search_no_exact_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S+3294&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S.+3294&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+3294&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+3294&page_size=25,fec_public_records_need_candidate_committee_or_outside_spending_target_join,"Review public FEC/OpenFEC candidate, committee, receipt, and independent-expenditure target fields; do not infer bill-specific campaign-finance targeting from public FEC records without an external target/source document.",external_lda_no_exact_match_campaign_target_scope_pending,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S+3294&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S.+3294&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+3294&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+3294&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
10,117-s-497,117-121,Public Lands and Natural Resources,2021-03-01,2022-05-12,external_current_bill_lobbying_target_search_needed,4,2,2,0,0,0,0,S 497; S. 497,2021; 2022,ok,official_lda_external_search_no_exact_current_bill_activity_text_match,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S+497&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S.+497&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+497&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+497&page_size=25,campaign_finance_external_search_not_in_current_row_scope,No campaign-finance target/source expansion is queued for this row after the local context review.,external_search_review_no_exact_lda_match_campaign_not_scoped,bill_finance_lobbying_local_context_review; official_lda_external_current_bill_search; fec_openfec_source_scope_triage,source_reviewed_support_or_opposition_disposition; lobbying_contact_or_target_source; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; candidate_or_committee_campaign_finance_target_join; reviewed_outside_spending_target; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S+497&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S.+497&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+497&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+497&page_size=25,"External source-search review only; exact LDA activity-text bill mentions show disclosed lobbying activity text that mentions the reviewed current bill, and FEC source-scope triage identifies public candidate/committee/outside-spending fields needed for later review. This does not show lobbying contacts, support, opposition, campaign spending for or against a bill, sponsor/member targeting, committee-action influence, roll-call influence, legislative-outcome causality, public benefit or welfare, causal capture, or model validation. Public FEC/OpenFEC source-scope triage only; public FEC records expose candidate, committee, receipt, and independent-expenditure target fields, not bill IDs or bill-specific campaign-finance influence."
